"REC_ID","REG_ID","BATCH_ID","APP","LATITUDE","LONGITUDE","INPUT_DATE"
745189840,"85530659524","62142605751",QR,"11.5692961","104.9232892",2026-08-02 12:52:11.934
746805729,"85530659524","62144842194",QR,"11.5673042","104.9231613",2026-08-02 18:19:37.085
747323335,"85530659524","62145568675",QR,"11.5698081","104.9244547",2026-08-02 20:00:56.959
747422407,"85530659524","62145709083",QR,"11.5699644","104.9244451",2026-08-02 20:25:56.906
748082170,"85530659524","62150364879",QR,"11.5698378","104.9245084",2026-08-03 06:49:40.402
749381247,"85530659524","62152186425",QR,"11.5774487","104.9162592",2026-08-03 11:39:45.720
749634753,"85530659524","62152537513",QR,"11.5793104","104.916839",2026-08-03 12:29:38.775
751158591,"85530659524","62154640512",QR,"11.5692338","104.9232779",2026-08-03 17:48:06.980
754133125,"85530659524","62162432629",QR,"11.5778748","104.9182226",2026-08-04 12:31:37.649
757021828,"85530659524","62170404470",QR,"11.5697363","104.9244322",2026-08-05 07:03:35.285
756251541,"85530659524","62165357505",QR,"11.5676416","104.921091",2026-08-04 19:55:39.462
756245681,"85530659524","62165348179",QR,"11.5675831","104.9209615",2026-08-04 19:54:03.863
758524889,"85530659524","62172499621",QR,"11.577895","104.9182699",2026-08-05 12:40:40.133
758532960,"85530659524","62172511235",QR,"11.5779341","104.9181733",2026-08-05 12:42:26.141
760422559,"85530659524","62175108588",QR,"11.5693236","104.9233071",2026-08-05 18:57:26.554
760376924,"85530659524","62175044757",QR,"11.568431","104.9229983",2026-08-05 18:49:28.852
761592979,"85530659524","62180470260",QR,"11.5697787","104.9244553",2026-08-06 07:12:57.087
763096843,"85530659524","62182558145",QR,"11.5792572","104.9168238",2026-08-06 12:47:12.325
761545094,"85530659524","62180402339",QR,"11.5696803","104.9243618",2026-08-06 06:58:59.839
767574813,"85530659524","62192535034",QR,"11.5793084","104.9168662",2026-08-07 12:45:06.807
769969091,"85530659524","62195853712",QR,"11.5682399","104.9211739",2026-08-07 20:40:25.942
768959006,"85530659524","62194447679",QR,"11.5692538","104.9233895",2026-08-07 17:33:19.703
769889683,"85530659524","62195740726",QR,"11.56798","104.920997",2026-08-07 20:19:54.770
741710225,"85530659524","62133953401",QR,"11.598558","104.8842849",2026-08-01 16:26:46.210
741436963,"85530659524","62133575468",QR,"11.6003015","104.8855548",2026-08-01 15:34:50.267
741237060,"85530659524","62133300555",QR,"11.5878063","104.8821391",2026-08-01 14:49:27.461
741249174,"85530659524","62133318905",QR,"11.5879403","104.882158",2026-08-01 14:52:39.570
743082232,"85530659524","62135886481",QR,"11.5532932","104.9269474",2026-08-01 21:11:15.048
765420871,"85530659524","62185765374",QR,"11.5673762","104.9234061",2026-08-06 20:41:34.399
